Assay Name	TGW	GW_m2	GW_MS	HD	main_spike	main_stem	G_MS	TL	Wvpd	Precipitation
Assay218	50,14	550	0,71	46	5,6	60	14,2	22	6,16	273,1
Assay219	45,93	600	0,67	46	5,1	52	14,5	22	6,16	273,1
Assay220	54,17	680	1,27	53	9,9	70	23,5	25	6,16	273,1
Assay221	52,18	780	1,29	51	9,8	67	24,8	25	6,16	273,1
Assay222	52,14	530	1,19	51	9	70	22,9	25	6,16	273,1
Assay223	49,47	680	0,94	49	6,9	53	18,9	22	6,16	273,1
Assay224	47,09	560	0,86	49	6,1	59	18,2	22	6,16	273,1
Assay225	46,93	540	0,77	46	5,9	54	16,3	22	6,16	273,1
Assay226	49,87	520	0,76	49	5,6	52	15,3	22	6,16	273,1
Assay227	46,19	590	0,68	46	5,5	62	14,7	22	6,16	273,1
Assay228	50,63	670	0,8	46	5,9	65	15,8	22	6,16	273,1
Assay229	45,52	528	0,66	49	5	46	14,5	22	6,16	273,1
Assay230	48,36	450	0,8	49	6,3	47	16,5	22	6,16	273,1
Assay231	46,42	490	0,75	49	6,4	53	16,2	22	6,16	273,1
Assay232	48,01	440	0,89	51	7,7	50	18,6	25	6,16	273,1
Assay233	48,23	520	0,93	51	7,2	63	19,2	25	6,16	273,1
Assay234	52,98	580	0,96	51	7,5	52	18,1	25	6,16	273,1
Assay235	57,64	430	1,03	53	7,8	58	17,8	25	6,16	273,1
Assay236	52,22	500	0,83	53	7,5	53	15,8	25	6,16	273,1
Assay237	58,9	530	1,07	53	8	60	18,2	25	6,16	273,1
Assay238	48,83	520	0,88	49	6,6	57	18	22	6,16	273,1
Assay239	50,93	480	0,83	49	6,3	53	16,2	22	6,16	273,1
Assay240	50,07	460	0,67	49	5,7	46	13,4	22	6,16	273,1
Assay241	49,39	660	1,05	53	7,5	50	21,2	25	6,16	273,1
Assay242	52,57	672	1,15	53	7,9	60	21,8	25	6,16	273,1
Assay243	51,56	690	1,25	51	8,7	55	24,3	25	6,16	273,1
Assay244	42,68	490	0,65	49	5,3	54	15,3	22	6,16	273,1
Assay245	43,55	460	0,68	46	5,2	52	15,5	22	6,16	273,1
Assay246	47,25	510	0,79	46	5,5	60	16,7	22	6,16	273,1
Assay247	47,52	450	0,78	49	6,2	48	16,5	22	6,16	273,1
Assay248	48,18	350	0,82	51	6,7	40	17	22	6,16	273,1
Assay249	44,91	390	0,75	49	6,6	44	16,7	22	6,16	273,1
Assay250	48,31	460	0,74	51	5,8	47	15,4	22	6,16	273,1
Assay251	49,57	470	0,7	49	5,6	56	14,1	22	6,16	273,1
Assay252	49,32	440	0,58	51	4,8	47	11,8	25	6,16	273,1
Assay253	45,6	470	0,68	49	6,9	57	15	22	6,16	273,1
Assay254	49,65	360	0,71	49	6,5	52	14,2	22	6,16	273,1
Assay255	47,68	370	0,72	51	7,2	50	15,1	22	6,16	273,1
Assay256	51,41	440	0,95	51	7,1	58	18,4	25	6,16	273,1
Assay257	54,35	450	0,88	49	7,1	53	16,1	22	6,16	273,1
Assay258	49,69	450	0,79	51	6	56	15,9	25	6,16	273,1
Assay259	45,92	710	0,97	51	8,4	63	21,1	25	6,16	273,1
Assay260	48,33	810	1,04	51	9,1	60	21,6	25	6,16	273,1
Assay261	46,52	700	0,95	51	8	55	20,4	25	6,16	273,1
Assay262	47,68	600	0,74	49	5,6	52	15,5	22	6,16	273,1
Assay263	50,39	655	0,78	46	5,1	56	15,5	22	6,16	273,1
Assay264	52,66	580	0,83	49	6,2	45	15,8	22	6,16	273,1
Assay265	43,35	540	0,89	49	7,2	52	20,6	22	6,16	273,1
Assay266	43,24	520	0,85	49	7,3	57	19,6	22	6,16	273,1
Assay267	42,76	520	0,73	49	6,7	54	17	25	6,16	273,1
Assay268	51,93	410	0,89	51	6,6	55	17,1	25	6,16	273,1
Assay269	49,51	460	0,81	49	6,5	54	16,4	22	6,16	273,1
Assay270	52,46	420	0,96	51	7,7	58	18,3	25	6,16	273,1
Assay271	47,33	450	0,85	49	6,9	45	18	22	6,16	273,1
Assay272	46,71	480	0,79	49	5,7	50	17	22	6,16	273,1
Assay273	46,08	540	0,81	46	6,4	55	17,6	20	6,16	273,1
Assay274	59,64	380	0,98	51	7,7	61	16,5	25	6,16	273,1
Assay275	56,64	480	0,9	51	7	56	15,9	25	6,16	273,1
Assay276	57,54	470	0,96	51	7,8	56	16,7	25	6,16	273,1
Assay277	44,1	510	0,73	46	6	50	16,6	22	6,16	273,1
Assay278	45,75	490	0,52	44	5	50	11,3	20	6,16	273,1
Assay279	47,3	420	0,67	44	5,3	46	14,1	20	6,16	273,1
Assay280	42,97	460	0,83	51	6,9	55	19,2	25	6,16	273,1
Assay281	43,63	380	0,89	51	7,7	41	20,4	22	6,16	273,1
Assay282	47,17	400	0,87	49	6,9	45	18,4	22	6,16	273,1
Assay283	47,87	500	0,74	49	6	47	15,5	22	6,16	273,1
Assay284	49,53	480	0,63	46	5,1	53	12,8	22	6,16	273,1
Assay285	50,14	520	0,7	46	5,9	52	13,9	22	6,16	273,1
Assay286	54,95	570	1	53	7,8	62	18,2	25	6,16	273,1
Assay287	53,56	450	0,96	51	7,3	53	18	22	6,16	273,1
Assay288	54,85	490	0,91	53	6,9	50	16,5	25	6,16	273,1
Assay289	53,69	660	0,96	51	7,8	41	17,9	25	6,16	273,1
Assay290	55,84	610	0,86	49	6,3	50	15,4	22	6,16	273,1
Assay291	52,41	730	1,02	49	7,6	51	19,5	22	6,16	273,1
Assay292	53,71	590	1,1	53	9	63	20,5	28	6,16	273,1
Assay293	50,81	480	1,07	53	8	52	21,1	25	6,16	273,1
Assay294	54,68	540	1,21	53	8	51	22,2	25	6,16	273,1
Assay295	43,24	440	0,59	46	5,8	46	13,6	20	6,16	273,1
Assay296	45,3	400	0,45	46	4,4	43	10	22	6,16	273,1
Assay297	41,78	470	0,49	44	4,2	50	11,8	20	6,16	273,1
Assay298	48,08	470	0,83	51	6,2	47	17,2	25	6,16	273,1
Assay299	45,71	400	0,64	49	5,5	44	14	22	6,16	273,1
Assay300	47,77	390	0,71	49	5,8	47	14,8	22	6,16	273,1
Assay301	54,74	700	1,14	53	7,7	57	20,9	25	6,16	273,1
Assay302	52,44	880	1,25	51	9	65	23,8	25	6,16	273,1
Assay303	49,87	750	1,12	51	8,5	54	22,4	25	6,16	273,1
Assay304	49,32	260	0,58	44	5,6	45	11,8	20	6,16	273,1
Assay305	41,81	270	0,49	44	4,6	52	11,6	20	6,16	273,1
Assay306	51,09	370	0,89	44	7	45	17,4	20	6,16	273,1
