Assay Name	TGW	GW_m2	GW_MS	HD	main_spike	main_stem	G_MS	TL	Wvpd	Precipitation					
Assay235	60,96	820	1,01	48	7,3	57	16,6	29	6,27	271,6					
Assay236	63,81	600	1,07	48	7	48	16,8	29	6,27	271,6					
Assay237	57,59	405	0,91	45	6,5	47	15,8	29	6,27	271,6					
Assay238	56,78	575	0,85	45	8	58	14,9	29	6,27	271,6					
Assay239	53,2	485	0,68	45	5,9	50	12,8	29	6,27	271,6					
Assay240	62,84	625	1,15	46	8,2	50	18,3	27	6,27	271,6					
Assay241	58,4	845	1,28	46	9,7	62	21,9	27	6,27	271,6					
Assay242	56,12	660	1	45	7,1	52	17,8	27	6,27	271,6					
Assay243	50,54	610	0,75	45	6,3	50	14,8	29	6,27	271,6					
Assay244	48,15	550	0,6	45	5,7	45	12,4	29	6,27	271,6					
Assay245	49,17	420	0,65	45	5,5	42	13,3	29	6,27	271,6					
Assay246	58,84	635	0,87	46	6,6	53	14,7	27	6,27	271,6					
Assay247	55,49	790	0,91	46	7,4	55	16,4	27	6,27	271,6					
Assay248	54,78	710	0,86	46	6,7	65	15,7	27	6,27	271,6					
Assay249	54,96	630	0,65	46	6	55	11,9	31	6,27	271,6					
Assay250	56,67	620	0,78	46	6,4	56	13,8	30	6,27	271,6					
Assay251	54,92	660	0,66	46	5,5	48	12	31	6,27	271,6					
Assay252	48,57	755	0,48	44	6,4	53	9,8	27	6,27	271,6					
Assay253	52,15	610	0,7	44	7,1	56	13,5	27	6,27	271,6					
Assay254	53,37	700	0,87	44	7,5	52	16,3	27	6,27	271,6					
Assay255	59,87	500	0,9	45	7,1	50	15	31	6,27	271,6					
Assay256	57,99	680	0,92	45	6,6	60	15,9	27	6,27	271,6					
Assay257	58,54	710	0,84	45	6,8	60	14,4	27	6,27	271,6					
Assay258	52,97	675	0,87	45	8,3	55	16,5	27	6,27	271,6					
Assay259	57,28	655	0,97	45	7,5	45	16,9	27	6,27	271,6					
Assay260	55,76	810	0,99	44	8,5	60	17,7	27	6,27	271,6					
Assay261	58,43	655	0,82	46	6,4	49	14	29	6,27	271,6					
Assay262	52,63	590	0,52	46	5,5	44	9,9	29	6,27	271,6					
Assay263	55,26	615	0,76	46	6,1	50	13,7	29	6,27	271,6					
Assay264	51,87	655	0,86	48	6,7	52	16,6	27	6,27	271,6					
Assay265	52,36	580	0,82	48	7,2	50	15,7	27	6,27	271,6					
Assay266	53,5	675	0,96	48	8	55	18	27	6,27	271,6					
Assay267	40,91	590	0,54	45	6,76	40	13,2	31	6,27	271,6					
Assay268	53,8	685	0,81	45	5,9	52	15	31	6,27	271,6					
Assay269	50,87	580	0,76	45	5,7	60	15	31	6,27	271,6					
Assay270	51,98	855	0,84	44	7,4	60	16,2	27	6,27	271,6					
Assay271	48,68	745	0,66	44	6,1	50	13,6	27	6,27	271,6					
Assay272	49,33	650	0,89	45	6,3	55	18	27	6,27	271,6					
Assay273	64,87	850	0,99	48	7,3	60	15,2	29	6,27	271,6					
Assay274	67,43	825	1,03	48	7,6	53	15,2	27	6,27	271,6					
Assay275	62,57	880	1,07	47	7,2	52	17,1	27	6,27	271,6					
Assay276	61,03	530	0,83	44	6,9	42	13,6	27	6,27	271,6					
Assay277	54,63	460	0,73	44	6,4	45	13,4	27	6,27	271,6					
Assay278	49,58	405	0,59	45	5	38	11,8	27	6,27	271,6					
Assay279	54,65	625	1,01	46	7,3	40	18,5	31	6,27	271,6					
Assay280	52,46	715	0,94	46	8,1	62	17,9	31	6,27	271,6					
Assay281	51,69	505	0,86	46	7,1	50	16,6	30	6,27	271,6					
Assay282	54,96	505	0,78	44	5,9	50	14,1	27	6,27	271,6					
Assay283	54,14	470	0,63	44	6	38	11,6	27	6,27	271,6					
Assay284	49,39	425	0,65	45	5,5	40	13,1	27	6,27	271,6					
Assay285	67,63	715	1,26	48	8	62	18,6	29	6,27	271,6					
Assay286	66,48	670	1,1	48	7,8	55	16,5	29	6,27	271,6					
Assay287	61,81	570	1,03	48	6,7	50	16,6	29	6,27	271,6					
Assay288	35,63	830	0,51	48	7	57	14,4	27	6,27	271,6					
Assay289	53,98	790	0,72	48	8,5	48	13,3	27	6,27	271,6					
Assay290	52,64	750	0,84	49	6,6	48	15,9	27	6,27	271,6					
Assay291	63,45	865	1,29	48	9,4	62	20,3	29	6,27	271,6					
Assay292	57,05	870	1,04	48	8,3	50	18,3	29	6,27	271,6					
Assay293	61,01	870	1,26	48	8,9	65	20,7	29	6,27	271,6					
Assay294	51,36	570	0,57	44	5,8	52	11	31	6,27	271,6					
Assay295	48,86	490	0,56	45	4,6	48	11,4	31	6,27	271,6					
Assay296	48,45	450	0,47	44	5,5	48	9,7	31	6,27	271,6					
Assay297	53,97	500	0,73	46	5,6	43	13,6	29	6,27	271,6					
Assay298	50,23	585	0,64	46	5,7	50	12,8	29	6,27	271,6					
Assay299	48,8	540	0,57	45	6,1	46	11,7	29	6,27	271,6					
Assay300	48,49	940	0,93	48	8,3	70	19,2	29	6,27	271,6					
Assay301	53,15	1125	1,05	48	8	60	19,7	29	6,27	271,6					
Assay302	56,76	990	1,23	47	8,1	58	21,6	28	6,27	271,6					
Assay303	53,04	290	0,3	40	4,2	40	5,6	27	6,27	271,6					
Assay304	53,6	415	0,75	41	6	36	13,9	27	6,27	271,6					
Assay305	45,21	370	0,32	40	4,3	38	7,1	27	6,27	271,6					
