Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infraspecific name]	Term Source REF	Term Accession Number	Characteristics[Seed origin]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Study start]	Parameter Value[Study duration]	Parameter Value[Growth facility]	Parameter Value[Geographic location]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Rooting medium]	Term Source REF	Term Accession Number	Parameter Value[Plot size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sowing density]	Parameter Value[pH]	Protocol REF	Parameter Value[Air humidity]	Parameter Value[Daily photon flux]	Parameter Value[Length of light period]	Parameter Value[Day temperature]	Parameter Value[Night temperature]	Protocol REF	Parameter Value[N before fertilisation]	Parameter Value[Type of fertiliser]	Parameter Value[Amount of fertiliser]	Protocol REF	Parameter Value[Irrigation type]	Parameter Value[Volume]	Parameter Value[Frequency]	Protocol REF	Sample Name	Characteristics[Experimental unit type]	Characteristics[Replication]
Source6	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH005			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample13	plot	1
Source6	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH005			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample14	plot	2
Source6	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH005			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample15	plot	3
Source7	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH006			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample16	plot	1
Source7	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH006			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample17	plot	2
Source7	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH006			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample18	plot	3
Source8	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH007			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample19	plot	1
Source8	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH007			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample20	plot	2
Source8	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH007			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample21	plot	3
Source9	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH009			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample22	plot	1
