Assay Name	LD	LDV	SD	SDV	FT10	FT16	FT22	Seed Dormancy	Emco5	Emwa1	Emoy*	Hiks1	Noco2	Li7	B11	Na23	Mg25	P31	S34	K39	Ca43	Mn55	Fe56	Co59	Ni60	Cu65	Zn66	As75	Se82	Mo98	Cd114	avrPphB	avrRpm1	avrRpt2	avrB	0W	2W	4W	8W	FLC	FRI	8W GH FT	8W GH LN	0W GH FT	0W GH LN	FT Field	FT Diameter Field	FT GH	FT Duration GH	LC Duration GH	LFS GH	MT GH	RP GH	At1	At1 CFU2	As	As CFU2	Bs	Bs CFU2	At2	At2 CFU2	As2	As2 CFU2	FW 	DW 	LES	YEL 	LY 	LN10	LN16	LN22	Silique 16	Silique 22	Germ 10	Germ 16	Germ 22	Width 10	Width 16	Width 22	Chlorosis 10	Chlorosis 16	Chlorosis 22	Anthocyanin 10	Anthocyanin 16	Anthocyanin 22	Leaf serr 10	Leaf serr 16	Leaf serr 22	Leaf roll 10	Leaf roll 16	Leaf roll 22	Rosette Erect 22	Hypocotyl length	Trichome avg C	Trichome avg JA	Aphid number	Bacterial titer	Seedling Growth	Vern Growth	After Vern Growth	Secondary Dormancy	Germ in dark	DSDS50	Seed bank 133-91	Storage 7 days	Storage 28 days	Storage 56 days
assay740																																														156.536	30.0955	28.2882	18.8384	63.8651	47.2227	17.0903	35.674																																																						
assay664																																														180.269	35.8317																																																												
assay1207																																																																																													0.61														
assay118	36.8403	26	1	9.08142	60	42	33	13																																																													22	21	21	1.6	1	5	4	3	4.8	8.2	9	0	0	1	0	0	1	0.5	0.5	0.5	1	0	0	0															
assay1044																																																																																																			0.0125543	0.158697	0.035014	64.561	52.3452	19.1176	0.25	0.5	60.7948
assay441																																								0.858	1.258	32.1	17.3	38.9	25.5																																																														
assay1008																																																						2.333	2.302	0.5	3.668	6.167	4.43	0	4.223	2.167	4.904																																												
assay1199																																																																																													4.16														
assay694																																														180.4	37.9897	32.6669	39.3497	89.3249	71.9444	13.2363	55.5133																																																						
assay567																																					125		28.5	3.971	2.331	38	15	200																																																															
assay1138																																																																																													0.34														
assay74	0.489898	4.32049	14.1506	12.244	53	35	35	15																																																													14	15	28	1.5	1	5	3	2	3.2	7.5	10.2	0	1	1	0	0	0	0.5	0	0	0	0	0	0															
assay134	200	38.4	200	72.2824	97	43																																																															32	23				7	3	4	0.7	6.6		0	0		0	1	0	0.5	1		0	0																	
assay922																																1	1	1	1																			1	4.526	2.833	5.26	7.167	5.215	1.333	5.047	2.333	5.141																															17.5	22	57.7	10.6										
assay957																																																						1	4.401	0	5.055	8	4.218	0.833	5.465	1	5.152																																												
assay869																																1	0	1	0																			0.5	2.721	0.5	3.664	3.667	4.17	0	3.304	0	3.766																															104.3	98	83.5	15.4										
assay809														6.22714	72.6329	395.23	11269.8	9811.58	11478.3	33142.8	23592.8	120.662	61.6512	1.39585	4.37405	0.921147	69.5433	0.227909	8.0068	4.1785	3.21377																																																																												
assay321									1	1	1	1	1																																																																																														
assay162	1.82574	31	77.3403	5.5	49	31	28																																																														16	13	13			7	3	2	2.5	10.5	12.3	0	0	1	0	1	1	0	0.5	0.5	1	0	0	0															
assay1157																																																																																													1.22														
assay1109																																																																																																		0.00736444	0.00101092	0.0778504			182.523	4.70369	0	0	0
assay1173																																																																																													5.8														
assay1216																																																																																													0.53														
assay667																																														190.138	21.1823	91.3035	24.1911	115.082	108.213	9.38736	31.2714																																																						
assay1072																																																																																																		0.00630921	0.00277801	0.0660653	0	99.3902	42.8747	0	0.25	19.75	77.9613
assay913																																0	1	1	1																			0	1.877	0.167	3.193	4.667	5.826	0	3.617	0.667	2.389																															74.7	74.8	28.7	11.8										
assay943																																1	1	1	1																			0.5	5.401	1.333	4.939	4.833	6.356	0	3.93	0	4.943																															14.8	14.3	29	14.3										
assay1215																																																																																													5.03														
assay692																																														163.438	30.045	30.0917	20.3578	68.3449	50.611	15.6923	37.4278																																																						
assay680																																														180.884	32.9899	92.2244																																																											
assay1093																																																																																																		0.00944042	0.00346754	0.101877	0	97.6562	26.4935	0	0	58.2794	100
assay1122																																																																																																		0.0075125	0.00630456	0.164413	1.11559	19.6824	76.4238	-0.331981	0	0	2.88461
assay723																																														157.926	39.144	27.9406	16.7219	62.1611	44.7211	16.8843	34.0345																																																						
assay238																																																																1.2226	0.0769	0	0	0																																							
assay966																																																						1.833	4.803	2.333	5.032	6.667	5.058	0.167	4.662	1	4.58																																												
assay1208																																																																																													0.44														
assay340										1	1	1	1																																																																																														
assay1160																																																																																													0.54														
assay813														8.4187	88.9356	669.594	14305.6	8581.78	9014.18	30609.3	28886.9	82.7146	60.5988	1.20461	3.07762	0.745657	54.2823	0.203723	5.78886	1.27666	2.88922																																																																												
assay41	3.96606	3.3375	117.292	71	55	57	51	15																																																													19	44	41	1.4	1.2	7	3	3	4.2	9.5	10.2	0	0	0	0	0	0	0.75	0.75	1	1	1	0	1															
assay868																																1	1	1	1																			1	3.706	0.5	2.696	4	2.596	1.667	4.661	3.833	4.902																															18.8	27	21.5	16.9										
assay821														6.35086	85.1185	817.912	14323.5	7421.11	12885	32858	30380.3	88.7662	57.5952	1.12792	3.2878	1.09114	63.4801	0.139636	6.69039	3.25223	2.75479																																																																												
assay252																																																																1.1988	0.0795	0	1	1																																							
assay34	157.681	3.81517	0	66.1667	71	98	75	57																																																													30	52	54	1.5	1	5	3	2	6	10.3	13	0	0	0	0	0	0	0	0	0.5	0	1	1	1															
assay967																																																						3.667	4.354	3.167	5.594	2.667	5.051	2.833	5.166	1.6	4.41																																												
assay192					70	53	44																																																														24	28	33			5	3	2	3	7.2	12.7	0	0	0	0	0	0	1	0.5	1	0	0	0	0															
assay373										1			0																																																																																														
assay223																																																																0.5068	0.028	0	0	0																																							
assay546																																				27.4	21.4		18.2	0.361	0.469	29	15	33.6	15.1																																																														
assay541																																						73		2.782	1.914			200																																																															
assay935																																	1	1	1																			2.5	6.398	5.167	5.676	9.5	4.4	2.667	4.927	1.167	5.004																															36.5	48.7	16.5	14										
assay352												1	1																																																																																														
assay545																																				25.3	15.6	15.4	14.2			23.8	9.1	26	12.2																																																														
assay808														8.71676	81.2362	1109.15	12617.4	8478.2	10920.7	35917.4	24709.8	88.8028	58.4157	0.968178	2.83815	1.30399	69.4814	0.238912	7.58563	5.81113	2.98374																																																																												
assay984																																																						6.167	5.86	3	4.917	7.4	3.3	4.167	5.719	2.5	4.87																																												
assay168	3.39935	22.8333	4.43471	47	49	41	27																																																														14	12	9			7	3	2	2.5	6.5	8	0	0	0	0	0	0	0.5	0	0	0	0	0	0															
assay1151																																																																																													0.7														
assay259																																																																0.8229	0.0534	0	0	0																																							
assay143	33.8403	22.8333	86.5069	51	52	52	48																																																														16	28	31			7	3	2	2.5	8	12	0	0	0	1	1	0	0.75	0.75	0.75	0	0	0	0															
assay449																																				73.6	23.8	18.4		3.63	1.009	24	10.4																																																																
assay70	200	33.1667	200	77.5	70	122	250	6																																																													23	60	166	1.4	0.9	5	3	2	4.4	10.6	11.2	0	0	0	0	1	1	1	1.5	1.5	0	0	0	1															
assay711																																														175.56	42.2638	22.198	20.2413	59.9176	42.5071	17.3556	37.7066																																																						
assay190					56	41	28																																																														20	15	14			7	3	3	3.1	9	12	0	0	1	0	0	0	0.75	0.5	0	1	0	0	1															
assay875																																0	0	1	0																			2.667	5.502	3	4.875	4.667	6.242	1.5	5.177	1.167	4.087																															33.8	47	50	11.3										
assay67	42.6944	1.77169	6.00196	8.05019	53	58	50																																																														20	42	39	1.3	1	5	3	2	4.5	9.5	11	0	0	1	0	1	1	1	0.5	0.75	1	0	1	1															
assay684																																														163.14	34.8574	28.5456	19.8578	68.457	48.5086	19.5501	39.6777																																																						
assay128	200	41.25	0	0.5	90	98	90																																																														35	44	43			7	3	2	3	8	13.2	1	1	1	0	1	1	1	0.5	0.5	1	0	0	1															
assay939																																0	0	0	0																			0.833	4.824	1.667	3.155	6.333	5.323	0	3.653	0.5	5.03																															45.3	56.8	46	18.4										
assay167		0	117.701	58.8333	51	41	36																																																														13	12	15			7	3	4	1.7	5.5	9.5	0	1	1	0	1	1	0.5	1	1	0	0	0	0															
assay33	2.28522	24.3333	6.75154	49.5	71	46	47	47																																																													24	38	28	1.9	1.4	7	4	2	3.9	6.2	9.2	0	0	1	0	0	1	0.75	0.75	1.5	0	0	0	0															
assay148	25	2.33238	5.18545	0.5	44	30	29																																																														14	9	10			7	3	2	2.2	6.5	9.2	0	0	0	0	0	0	0.5	0	0	0	0	0	0															
assay930																																																						2.5	3.555	1.833	4.429	8.333	6.461	1.333	4.748	0	3.739																																												
assay330									1	0	1	1	0																																																																																														
assay1148																																																																																													0.56														
assay879																																1	1	1	1																			2	3.207	1.833	4.482	4.333	4.257	0.333	4.875	1.5	4.081																															42.5	32.5	50.5	15.6										
assay245																																																																0.5742	0.0387	0	0	0																																							
assay968																																																						0.167	3.967	0.5	4.604	8.167	2.702	0	3.149	1.667	5.072																																												
assay1011																																																						2.667	5.112	4	6.045	7.8	4.863	1.333	4.99	0.333	4.561																																												
assay405																																				37.1	23.6	19.6	17.9	0.369	1.5878	25.7	16.9	30	15.4																																																														
assay465																																								1.182	1.6562	29.3	13.9	27.6	10.5																																																														
assay851																																0		1	1																			1.833	3.939	1	4.757	3.75	4.187	0.833	3.613	1.667	5.177																															28.5	49	14.5	9										
assay628																																														163.084	32.813	37.3504	23.6135	74.998	61.1569	13.7587	37.6396																																																						
assay840														7.13425	97.2421	998.867	13492.5	10904.7	9440.34	36756	25090.5	69.3662	53.915	1.51997	2.74811	1.08796	58.684	0.230791	6.01421	4.11131	3.00015																																																																												
assay643																																														176.915	24.3518	162.694																																																											
assay1002																																																						2.833	4.845	1.833	3.643	8.333	4.92	3	4.47	0.333	4.28																																												
assay895																																1	1	1	1																			0.5	4.223	2.333	4.452	6.333	3.443	0.167	3.911	1.5	4.923																															34	67.5	28	15.7										
assay1120																																																																																																		0.00873811	0.00341979	0.0947512	0.0658134	96.6667	64.0557	-1.06108	0	2.75	35.0002
assay76	31	1.41421	75.6667	50.3333	51	44	37	32																																																													22	24	16	1.5	1.1	5	3	2	4.6	7.5	9.9	0	1	0	0	0	0	0.75	0.5	1	1	0	0	0															
assay862																																1	1	1	1																			1.333	3.939	2	4.719	8	2.829	1.333	4.579	0.667	5.05																																	28.5	16.9										
assay662																																														177.659	29.6386	42.2876	28.3384	87.3148	70.66	16.0781	44.7157																																																						
assay845																																																						1.333	3.102	0.167	4.451	2.333	3.781	0	5.351	0.5	5.055																																												
assay526																																				26.7	22.4	21.8	16.1	0.157	0.402	23	13.6	25.7	12																																																														
assay781														7.40693	87.545	584.367	14468.9	7047.64	10500.8	41767.1	29210.5	88.3151	58.2837	1.3182	2.90562	0.879674	80.7638	0.130103	6.93459	3.88612	2.46056																																																																												
assay994																																																						1.167	5.194	0.333	4.231	3.833	3.508	0.667	4.295	0.333	4.93																																												
assay61	1.49071	1.24722	5.50276	1.95078	47	31	25	41																																																													13	12	11	1.7	1	5	3	2	4.5	9	7	0	1	1	1	0	0	0	0.5	0	1	0	0	0															
assay427																																							48.6	0.382	1.8628	37.9	33.3	55.8	63.7																																																														
assay610																																														181.536	22.4096	38.9847	32.8167	92.7655	70.978	20.967	54.2687																																																						
assay137		0.816497	157.021	73.5	73	66	43																																																														37	50	29			7	3	2	3.8	10	16	0	0	1	0	0	0	1	0.75	0.75	0	1	1	1															
assay542																																				75	35.6		17.8			29	19																																																																
assay525																																				36.5	22.4	20.8	18.3	0.06	0.623	28.2	15.3	28	13.5																																																														
assay343									1	1	1	1	1																																																																																														
assay636																																														154.254	34.9541	29.6221	20.0746	70.47	49.7532	20.6749	40.8352																																																						
assay1070																																																																																																		0.00747698	0.00452957	0.0809157	1.43e-16	75	54.9724	0	1.62e-17	4.75	55.9069
assay163	5.5	22	114.792	6.53197	49	51	48																																																														14	31	38			5	3	2	2.7	7.5	11.8	0	0	0	0	0	0	0	0.5	0.5	1	0	0	1															
assay732																																														167.852	30.0596	164.263																																																											
assay608																																														178.072	37.9966	66.3342	32.6717	105.131	99.1584	6.70116	39.0218																																																						
assay43	4.51494	1.57233	16.1883	3.34664	49	54	40	106																																																													13	43	23	1.6	1.2	5	3	2	3.9	8.5	9.5	0	0	1	1	0	0	1.5	1	1.5	1	1	1	1															
assay882																																1	0	0	0																			0.333	4.14	2.5	3.941	8.667	4.252	0.333	3.374	0	4.738																															14	23.5	19.3	17.3										
assay637																																														163.08	24.1876	167.846																																																											
assay983																																																						1.333	4.614	0.667	4.415	5.333	5.401	0.333	3.467	0.333	4.561																																												
assay1185																																																																																													5.91														
assay974																																																						0.167	2.995	0.4	4.664	8.5	3.729	0	3.949	0.333	5.399																																												
assay342									0	0	0																																																																																																
assay100					46	29	27																																																																																																				
assay853																																																						3	3.985	4.2	4.76	5.75	5.889	1.8	4.147	2.833	5.657																																												
assay554																																								0.058		32.1	15.9	37	23.4																																																														
assay759														6.17904	76.048	1855.96	12765.5	8748.34	13576.2	43387.8	24642.1	89.2347	69.4283	1.4102	3.23229	0.932638	81.9064	0.281173	7.99419	2.70963	3.36302																																																																												
assay688																																														157.749	38.5269	66.8893	25.6035	103.919	92.7519	12.145	37.451																																																						
assay653																																														163.089	42.2855	29.2733	20.2139	65.4269	49.3006	16.161	36.2501																																																						
assay431																																				25.6	20.6	16.8	14.4	0.106	0.512	24.6	12.3	25.6	10.7																																																														
assay603																																														180.514	31.1824	103.141	11.9388	129.321	128.717	5.87399	20.7562																																																						
assay89					92	90	95.3																																																																																																				
assay916																																1	1	1	1																			0.833	3.908	0	4.592	7.667	3.783	0.167	3.911	0.5	3.583																															11.3	25	15	15.7										
assay48	1.39125	1.69967	9.74504	5.76387	65	50	40	17																																																													20	42	20	2	1.5	7	3	2	4.1	7.6	12.2	0	1	1	0	1	0	0.5	0.5	0.5	1	1	0	1															
assay897																																1	1	1	1																			0.5	1.86	0.333	4.935	2.833	4.682	0	2.899	0.333	4.522																															13	28.3	24.8	17.1										
assay316									1	1		1	0																																																																																														
assay207																																																																1.1484	0.0667	0	0	0																																							
assay805														7.30584	83.615	724.816	13530.4	8927.71	11674.6	26674.5	28834.4	162.192	70.9449	1.62849	3.22326	1.411	95.9298	0.354187	8.13804	3.31825	5.21119																																																																												
assay1098																																																																																																		0.00869452	0.00440452	0.103317	0.80237	25.2259	10.7497	0	51.1225	94.75	95.25
assay248																																																																0.6763	0.0465	0	0	0																																							
assay1090																																																																																																		0.00810295	0.0042332	0.0848587	1.43e-16	85.7906	62.7901	18.659	0	0	35.3907
assay1053																																																																																																		0.00874224	0.00490837	0.172235			237.774	-7.93409	0	0	0
assay872																																0	1	0	1																			1	5.082	0.333	4.401	4.667	4.953	1.167	4.388	2	5.093																															14	23.8	14	10.2										
assay131	41.5208	46			59	79	73																																																														24	43	62			7	3	2	2.5	6.3	11.5	1	1	1	0	0	0	0.5	1	1	1	0	0	0															
assay423																																				27.4	20.6	21.7	18.7	0.125	1.0577	26.2	16.1	27.1	11.7																																																														
assay660																																														169.45	23.0631	65.1371	36.6217	103.392	98.3839	6.42255	42.0919																																																						
assay380									1	0	0	1	1																																																																																														
assay46	5.39807	4.04145	76	37.6667	56	52	55	129																																																													19	42	65	1.7	1.1	7	3	2	5	9.2	12	0	0	0	1	0	0	0	0	0	1	0	1	1															
assay1192																																																																																													4.56														
assay156	3.2939	1.5	88.3403	17.2434	70	51	37																																																														28	31	42			7	3	2	1.9	5.8	13.6	0	1	1	0	1	1	1	0.75	0.75	0	0	0	0															
assay807														8.91173	88.2455	591.743	13892.7	6973.96	11618.9	28068.5	28650.9	80.6365	56.0769	1.3108	2.7842	0.922032	46.7386	0.19309	6.19546	1.44318	4.1311																																																																												
assay953																																																						3.833	6.544	2.333	5.428	4.6	3.992	2.667	5.456	3.6	5.262																																												
assay651																																														161.454	28.1269	25.818	21.5552	65.7379	47.3022	18.0501	39.7447																																																						
assay1057																																																																																																		0.00736257	0.00229307	0.0863639	0.804679	-6.89e-16	66.5533	7.45e-20	1.69e-17	8.24e-17	21.5474
assay580																																														160.507	35.3529	25.4878	19.5004	66.4341	44.8206	21.7177	41.2736																																																						
assay584																																														182.283	21.1494	165.154																																																											
assay757														5.44745	67.1482	900.858	10988.5	8412.12	10813.5	38770.5	23095.4	129.019	66.1153	2.17599	3.2793	1.11268	89.5432	0.21755	6.90808	1.40302	4.31325																																																																												
assay864																																1	0	1	0																			4.167	5.421	3.667	3.557	6.833	4.518	5.5	4.938	1.833	4.924																															2.5	11.3	8	11.2										
assay557																																				31.9	24.4		22.6	0.035	0.846	29.1	20.7	29.8	18.1																																																														
assay630																																														139.717	35.8316	55.5767	26.9776	88.8256	82.5147	7.07637	33.5888																																																						
assay85	1.06719	4.66964	3.51062	2.91071	53	40	27	20																																																													16	14	12	1.6	1.3	5	4	2	3.2	10	10.2	0	0	0	0	0	0	1	1	1	1	0	0	1															
assay403																																					125	84.1	25.2	1.113	2.7299	28.7	21.7	200																																																															
assay841														6.01191	84.535	681.613	11776.2	9050.24	12751.3	34925.9	21909	89.6207	63.6286	1.07219	3.49482	1.4351	78.5553	0.197736	7.61052	3.17274	3.41204																																																																												
assay539																																				27	19.2	17.8	15.4	0.102	0.32	24.5	11.5	23.2	10.9																																																														
assay315									1	1	1	1	1																																																																																														
assay676																																														160.017	35.406	35.4244	23.248	73.3745	57.9582	15.051	38.1124																																																						
assay1076																																																																																																		0.00595601	0.00171113	0.0637767	-0.0595238	66.2946	79.6785	-0.142506	0.1625	0.25	3.25
assay906																																0	1	1	1																			1.5	4.938	3.667	4.74	9.167	5.963	2	5.961	3.333	5.908																															55.5	66.7	12.3	11.5										
assay9	0	42	0		96	201	250																																																														46	116	124			7	3	2	2.4	6.2	11.2	1	1	1	0	1	1	0.75	0.75	1	0	0	0	1															
assay60	5.6446	29.1667	7.22268	3.72678	51	48	42	51																																																													16	34	25	1.4	1.2	5	3	2	4.5	8.3	10	0	0	0	0	1	0	0	0.5	0.75	0	0	0	1															
assay176	27	19.3333	5.73488	6.28013	41	40	37																																																														9	12	15			5	3	2	2.4	6.2	7.5	0	0	0	0	0	0	0.5	1	1.5	0	0	1	0															
assay614																																														145.696	27.6269	43.3479	21.0244	78.8485	64.3985	13.7587	35.1251																																																						
assay155	77.0417	30	89.825	13.5606	61	72	41																																																														18	47	41			7	3	2	2.6	8.2	10	0	0	0	0	1	0	0.5	0.75	1	0	0	1	1															
assay357									1	0	0	0	1																																																																																														
assay548																																				25.2	19.2		18.9			32.2	15.4	26.3	12.2																																																														
assay394																																				125	125	125		1.49	1.7791	43.4	37.9	200																																																															
assay721																																														190.365	27.5767	33.8426	31.8478	79.066	65.1732	13.5708	45.5603																																																						
assay50	1.34371	1.37437	10.1567	6.65833	49	32	28	30																																																													11	11	9	1.5	1	7	4	2	3.5	7.2	5.2	0	1	1	1	1	0	0.5	0.5	1	1	1	0	0															
assay905																																1	1	1	1																			3.333	5.271	3.667	5.288	6.333	5.137	0	3.259	0	4.735																															30.5	36.3	17	15.6										
assay496																																					22.8	20.4	17.9	0.839	1.3153	25.3	15		14.1																																																														
assay1006																																																						2.5	4.787	4.5	3.611	5.667	5.016	2.5	5.811	5	4.8																																												
assay551																																				35.1	25	22.8	19.5	0.309	0.69	28.2	17.1	29.2	16.6																																																														
assay819														6.92559	87.0065	708.453	13871.1	8365.65	11234.4	38359.3	28396	78.3369	58.1081	1.15664	3.15227	1.25813	64.8091	0.176808	7.17959	1.90759	2.81898																																																																												
assay985																																																						1	3.916	0.333	3.972	5.667	5.158	0.333	4.982	1.167	5.499																																												
assay981																																																						0.5	4.386	0	4.377	7.333	3.178	0.167	4.214	0.667	4.862																																												
assay848																																																						0.667	3.362	0.5	5.176	1.333	4.721	0.667	4.078	0.333	4.816																																												
assay926																																1		1	0																			0.833	5.248	1.833	5.078	6.2	4.664	0.667	4.981	0.333	5.137																															17.3	26.5	11	15.8										
assay254																																																																0.3862	0.0345	0	0	0																																							
assay64	6.13732	1.52753	99.7917	2.62996	60	66	50	73																																																													25	56	40	1.8	1.1	5	3	2	11.6	11.4	11	0	1	1	0	0	0	1.5	1.5	1.5	1	0	1	1															
assay751														5.03345	71.1552	389.432	11362.6	10083.6	12277.1	31362.8	24198.8	108.039	63.4751	1.29533	3.73757	0.992542	71.6353	0.194808	7.62001	2.27191	3.83151																																																																												
assay556																																				32.6	23.8		20.6	0.156	2.64	26	17.4	28.9	18.1																																																														
assay1183																																																																																													5.34														
assay242																																																																0.7187	0.0493	1	0	1																																							
assay663																																														179.864	38.3884	63.0945	35.9741	104.753	99.0068	4.96781	41.1499																																																						
assay843														8.26295	86.9584	452.602	13896.3	8674.62	8708.11	30029.6	29124.7	93.7451	63.7463	1.42444	2.3992	1.17039	81.1612	0.245554	6.35709	1.49401	3.26528																																																																												
assay892																																0	0	1	0																			0.5	3.31	0.333	4.552	8.5	4.678	0	3.473	0	4.096																															17.8	24.8	54	16.5										
assay959																																																						0.667	3.269	2.167	3.998	5.167	5.209	0	3.982	0.5	3.825																																												
assay622																																														185.457	32.4302	40.4885	38.4033	89.4564	78.6845	11.4254	49.5743																																																						
assay1068																																																																																																		0.00812781	0.00187969	0.0627259	1.05945	8.31475	105.459	-17.9362	1.64e-17	8.19e-17	0.5
assay224																																																																0.9587	0.0678	0	0	0																																							
assay656																																														185.742	29.5677																																																												
assay921																																																																																														20.8	16	34.8	14.1										
assay187	4.10961	6.79614	13.7912	49.1667	69	35	40																																																														27	22	23			5	3	2	2.7	8	12	0	0	0	0	0	0	0.75	1	1	1	0	0	0															
assay696																																														151.293	38.8142	74.3236	31.7243	110.352	101.273	10.272	41.4036																																																						
assay763														5.93783	86.3505	707.215	14003.1	8922.27	13454.9	35689.4	29527.8	81.9706	67.582	1.44759	3.37902	0.671517	61.6265	0.204984	8.22867	2.40806	2.49995																																																																												
assay911																																0	0	1	0																			2.167	4.789	2.167	5.451	7.167	4.61	0.5	4.845	2.667	4.475																															30.7	46	25.8	17.4										
assay772														5.91996	82.9351	676.315	13886.3	8620.92	11626.9	36467.8	29129	86.6567	63.2274	1.606	3.9426	1.16506	56.1557	0.3144	7.21779	4.52094	2.46896																																																																												
assay166	3.44093	27	4.60676	36.5	64	41	37																																																														41	16	17			7	3	2	2.2	7.2	12	0	0	0	0	0	0	0.75	1	1.5	1	0	1	0															
assay611																																														160.12	23.3539	34.1935	25.408	76.4327	60.185	16.9525	42.5307																																																						
assay69	0	3.40343	0	70.8333	71	126	207	11																																																													25	61	154	1.3	0.9	5	3	2	4.3	9	10.5	0	0	0	0	0	1	1	1	1.5	0	0	0	1															
assay53	28	1.49071	7.4608	15.9757	49	37	32	38																																																													16	11	12	1.4	1	5	3	3	3.6	8.5	10.5	0	1	0	1	1	1	1	0.75	0.75	1	0	0	1															
assay410																																				49.6	27	25.1	17.7	1.293	1.3286	26.9	17.3	32.1	23																																																														
assay284																																																																0.8546	0.0501	0	0	0																																							
assay523																																							25.4	2.073	1.85			200																																																															
assay1096																																																																																																		0.00667777	0.00694769	0.122722			264	0.333333	-3.05e-14	-1.46e-14	-4.59e-15
assay646																																														156.048	27.6969	23.7279	17.3497	58.4456	41.0392	17.8268	34.8932																																																						
assay647																																														166.427	15.9844	23.244	25.3223	66.7732	48.426	18.661	43.8026																																																						
assay1003																																																						1.5	5.453	0.5	5.102	7.167	4.799	0.667	5.174	0.667	5.246																																												
assay797														7.41179	77.2234	478.055	13800.5	8426.8	10323.5	36331.4	27790.3	104.307	62.1856	1.09888	3.17709	1.14907	61.7145	0.206845	6.52038	2.56156	2.7969																																																																												
assay1129																																																																																																		0.00988099	0.00525357	0.155034	2.26459	0	21.772	0	40.0475	57	97.5
assay359									1	1	0	0	0																																																																																														
assay175	200	1.22474	0	95	78	112	250																																																														38	59	262			5	3	2	2.6	5.6	8.6	0	0	0	0	0	0	1	1	1	0	0	0	1															
assay569																																														158.042	25.1824	34.8845	22.505	72.08	57.1281	14.6875	37.0721																																																						
assay950																																1	1	1	1																			3.167	5.463	2.333	4.922	8.167	3.538	2.5	5.517	3.167	5.706																															34.5	39	25.5	16.4										
assay430																																				23.6	19.4	17	13.3	0.463	0.669	23.2	11.6	25.9	11.3																																																														
assay1026																																																																																																		0.00983389	0.0134636	0.249604	0.664479	0	4.58595	0	76.5994	81.75	100
assay969																																																						1.833	5.135	1.5	5.966	5	3.817	2	5.402	0.167	5.3																																												
assay39	31.6667	22.6667	84.6736	35.8333	49	45	41	51																																																													15	15	19	1.5	1	5	3	2	4.2	10.2	10.3	0	0	0	0	1	1	0	1	1	1	0	0	1															
assay270																																																																1.5106	0.0954	0	0	0																																							
assay1099																																																																																																		0.0104682	0.00345496	0.0852892	0.191739	65.295	66.5472	-7.74523	1.83	7.49713	34.3144
assay806														7.13936	85.1255	418.852	13884.5	8285.46	9531.99	27508.3	28080.4	133.705	59.9168	1.45765	3.48621	1.04914	80.6655	0.132789	6.13705	2.30568	2.28019																																																																												
assay1106																																																																																																		0.00710958	0.00672797	0.143638	0.0297619	95.504	58.2276	0	0	0	47.1564
assay338									1		0	0	0																																																																																														
assay835														8.63673	94.3633	822.483	14237	6788.66	11546.7	29567.3	27445.4	77.9728	60.1803	1.28535	2.06145	1.04726	80.5205	0.194139	6.45885	3.84714	3.20787																																																																												
assay189																																																																					20	10	8			7	3	2	3.2	7.5	5.6	1	1	1	0	0	0	0	0	0	0	0	0	0															
assay996																																																						3.167	3.403	2.167	3.813	2.167	4.51	1.333	5.503	1.833	4.159																																												
assay1091																																																																																																		0.00894701	0.00326391	0.0838324	1.46679	32.0261	19.8747	-12.1569	45.595	75.5	82
assay507																																					125	116.2	44	1.248	0.636	39.7	38.8																																																																
assay392																																				125	72.4		33	2.321	1.901	33.3	30.4	86	91.1																																																														
assay324									1	0	0	0	0																																																																																														
assay109					49	34.75	23.3																																																																																																				
assay529																																								0.175		25.9	15.1	28.4	14.5																																																														
assay900																																0	1	1	1																			4.667	4.244	3.833	4.977	7	5.158	4.5	5.184	4.167	4.353																															37	44.5	31	14.2										
assay949																																0	0	1	0																			1.833	5.15	0.333	4.383	5	3.947	1	3.335	0.5	4.481																															35	38.3	36.5	12.4										
assay11	2.55545	2.48747	98.2014	50	56	41	29																																																														23	16	15			7	3	2	2.7	8.6	12.7	0	0	1	0	0	0	0.5	0.5	0	0	0	0	0															
assay876																																0	0	1	0																			0.667	2.443	1.6	3.439	8	3.965	0.5	4.814	1.833	4.884																															18.3	19.3	20.3	16.2										
assay399																																				37.4	24.8		17.1	0.548	1.069	24.6	16.4	26.6	14																																																														
assay1051																																																																																																		0.00778961	0.00213397	0.0912306	0.435677	60.1919	38.9181	0	0	43	72.3729
assay543																																				36.3	30.6	25.9	20.3	0.166	0.283	27.7	16.4	30.9	17.1																																																														
assay140	3.76663	25	83	33.6667	46	47	47																																																														18	30	38			7	3	2	2.2	7.4	11.5	0	0	0	0	0	0	0.75	1	1	1	0	0	0															
assay307									1	1	1	1	1																																																																																														
assay26	31.6667	3.78594	62	26.3333	46	53	39																																																														12	18	13	2.2	1.9	5	3	3	6	7	11	0	0	0	1	0	0	0	0	0	0	0	0	1															
assay468																																				69	32.2	28	18.2	1.499	0.7839	25.6	20.7	61.7	79.5																																																														
assay8	0	7.32718	200	117.2	93	150	250	0																																																													44	94	184	1.5	0.9	5	4	2	3.2	7.2	8.6	0	1	0	0	1	1	0	0.75	1	0	0	0	0.5															
assay113	50.6417	4.53382			49	62	60																																																														15	42	50	1.3	1.2	5	3	3	3.2	7.4	9.2	0	1	0	0	0	0	0.5	0.75	1	1	1	0	1															
assay294									1	1		1	1																																																																																														
assay710																																														198.006	26.0793																																																												
