Assay Name	LD	LDV	SD	SDV	FT10	FT16	FT22	Seed Dormancy	Emco5	Emwa1	Emoy*	Hiks1	Noco2	Li7	B11	Na23	Mg25	P31	S34	K39	Ca43	Mn55	Fe56	Co59	Ni60	Cu65	Zn66	As75	Se82	Mo98	Cd114	avrPphB	avrRpm1	avrRpt2	avrB	0W	2W	4W	8W	FLC	FRI	8W GH FT	8W GH LN	0W GH FT	0W GH LN	FT Field	FT Diameter Field	FT GH	FT Duration GH	LC Duration GH	LFS GH	MT GH	RP GH	At1	At1 CFU2	As	As CFU2	Bs	Bs CFU2	At2	At2 CFU2	As2	As2 CFU2	FW 	DW 	LES	YEL 	LY 	LN10	LN16	LN22	Silique 16	Silique 22	Germ 10	Germ 16	Germ 22	Width 10	Width 16	Width 22	Chlorosis 10	Chlorosis 16	Chlorosis 22	Anthocyanin 10	Anthocyanin 16	Anthocyanin 22	Leaf serr 10	Leaf serr 16	Leaf serr 22	Leaf roll 10	Leaf roll 16	Leaf roll 22	Rosette Erect 22	Hypocotyl length	Trichome avg C	Trichome avg JA	Aphid number	Bacterial titer	Seedling Growth	Vern Growth	After Vern Growth	Secondary Dormancy	Germ in dark	DSDS50	Seed bank 133-91	Storage 7 days	Storage 28 days	Storage 56 days
assay834														7.14112	84.9821	916.191	14068.2	7868.13	9493.19	31714.9	29127.2	121.675	65.5412	0.792676	1.32314	0.962472	62.0633	0.232191	5.34789	3.22599	2.31668																																																																												
assay1028																																																																																																		0.00736033	0.00449879	0.124493	1.97516	8.58e-15	40.4731	0	5.31	32.6437	74.75
assay731																																														167.487	43.4959	30.2733	21.1911	68.5655	51.6034	17.0633	38.2591																																																						
assay286																																																																1.0361	0.0703	0	0	0																																							
assay124	52.0417	29.1667	0	6.49923	53	60	87	8																																																													17	54	31	1.6	1.1	5	3	2	3.5	8	10.7	0	0	1	0	0	0	0.5	0.5	1	1	1	0	1															
assay210																																																																0.2863	0.0186	0	0	0																																							
assay371									1	1	1	1	1																																																																																														
assay174	33.6667	25	9.52338	46	62	45	26																																																														21	31	19			5	3	2	2.4	9.5	13.7	0	0	0	0	0	0	0.75	1	1	1	1	0	0															
assay458																																				77	26.4	21.3	18.8	3.633	1.2371	25.9	10.6	44.3	33.6																																																														
assay675																																														126.735	29.8788	24.4698	16.3999	57.4318	40.6584	16.8958	32.3076																																																						
assay1000																																																						3.333	6.548	0.833	5.202	7.833	5.754	1.5	5.461	5.167	3.093																																												
assay581																																														167.626	20.8338	50.0923	34.1135	97.2416	84.3481	12.6199	47.049																																																						
assay282																																																																0.8293	0.0675	0	0	0																																							
assay956																																																						2.5	2.763	2	4.988	1.667	5.114	0.833	5.053	1.833	4.975																																												
assay938																																0	0	1	0																			2.167	5.063	1.667	5.476	7.167	3.41	0.5	3.769	1.5	4.148																															29	42.5	52	11.3										
assay204																																																																0.4619	0.0301	0	0	0																																							
assay1174																																																																																													0.64														
assay92					79	47.5	46																																																																																																				
assay1065																																																																																																		0.0084198	0.00917359	0.141663	1.80087	13.8889	80.6682	-20.599	17.75	38.75	38.0847
assay173	82.0417	28.5	111.375	3.11247	70	74	78																																																														33	47	49			7	3	3	2.7	6	7.2	0	1	1	0	0	0	1	0.75	1	0	0	0	1															
assay362									1	1	1	1	1																																																																																														
assay434																																				48.2	28.6	24.6	20	1.378	0.3965	25.5	17.2	42.4	34.4																																																														
assay1020																																																																																																		0.00676544	0.00198257	0.0599347	1.47791	4.16667	41.2545	0	2.75	15	81.3899
assay313									0																																																																																																		
assay447																																				38.5	28.6	23.9	22.7	0.459	0.6573	26.4	16.5	31.5	17.6																																																														
assay466																																				23.7	17.8	17.1	15.3	0.11	1.1646	24.5	10.7		6.8																																																														
assay1	2.03443	5.85947	7.88811	42.3333	57	50	43	34																																																													21	28	23	1.4	0.9	7	4	2	4.5	8.5	10.5	0	1	1	0	1	0	0.5	1	1	1	1	0	0															
assay1175																																																																																													0.45														
assay928																																0	1	0	1																			3.167	5.1	1.667	4.57	6	3.09	0.167	5.084	0.5	5.652																															10	12	45	13.9										
assay863																																1	1	1	1																			0.333	4.16	1.833	4.566	6.667	5.292	0.833	4.984	0.5	4.819																															19	28.5	47.8	15										
assay391																																				125	78.2		30.8	2.084	1.89			200																																																															
assay257																																																																0.4225	0.0384	0	0	0																																							
assay47	2.70801	1.5	6.52083	40.5	67	54	42	56																																																													28	42	39	1.5	1	5	3	2	6	12	11.5	0	0	1	1	1	0	1	0.5	1	1	1	0	1															
assay997																																																						0	3.03	0.2	4.252	3.667	4.945	0	3.79	0	4.43																																												
assay891																																1	0	1	0																			2	5.736	3.167	4.588	7.5	4.211	0	4.344	0	4.48																															29	19.3	54.5	17.1										
assay961																																																						2	3.905	4	4.088	5.5	4.439	1.2	2.826	1.667	3.985																																												
assay463																																				29	22.4	22.2	21.1	0.116	0.7402	24.7	15.6	28.4	13.6																																																														
assay418																																				125	125	110.3	32.6	1.287	1.8538	37.2	28.9	200																																																															
assay495																																				46	27.4		19.1	0.96	1.1831	25	16	31	19.9																																																														
assay896																																1	0	1	0																			0.333	5.94	1.833	3.492	6.333	4.507	1	4.547	1.833	4.374																															22.5	50.3	25.3	11.5										
assay846																																0	1	1	1																			1	3.936	2.5	5.091	1.5	5.556	4.6	4.406	0.25	5.144																															69	46.5	27.3	9.2										
assay591																																														158.991	28.1767	37.4853	19.3303	71.5878	56.7456	15.6732	34.4366																																																						
assay1150																																																																																													5.73														
assay1025																																																																																																		0.00706085	0.00170727	0.0730645	0.991412	18.7262	7.13983	-6.98e-20	87.675	95.75	100
assay305									1	1	1	1	1																																																																																														
assay29	41.2014	2.67187	101.031	55.6667	53	48	46	13																																																													20	30	34	1.4	1	5	3	2	5	8.5	10.5	0	1	1	1	0	0	1	0.5	0.5	0	0	1	1															
assay609																																														155.385	47.7742	39.0463	26.2835	81.4212	65.0698	16.7439	42.6649																																																						
assay789														7.0704	84.0903	348.793	13146.4	7990.24	9405.58	35981.2	28371.5	103.164	55.5852	1.26202	2.60848	1.3176	76.4242	0.12893	5.66647	2.49408	3.03187																																																																												
assay439																																				28.4	19.8	23.1	15.5	0.162	0.8388	25.1	10.6	26	12																																																														
assay302									1	1	1	1	1																																																																																														
assay1055																																																																																																		0.0074048	0.00296332	0.0884977	0.224372	10.5152	9.15082	0	65.93	100	100
assay132	21	23.75			60	71	58																																																														22	45	52			7	3	2	2.7	5.6	10.5	0	1	1	0	1	0	1.5	0.75	1.5	1	0	0	0															
assay550																																								3.065	2.352	30.6	21.6	69.2	91.4																																																														
assay505																																				125	114.6	125	40.9	1.434	0.86																																																																		
assay910																																1	1	1	1																			1.333	5.368	0	3.975	3.5	3.324	0.667	5.447	0.333	4.893																															26.5	38.8	42.8	15.4										
assay260																																																																0.5201	0.0417	0	0	0																																							
assay172	0	49.8	0	83.3333	104	129	250																																																														48	68	140			7	3	2	2	6.2	9	1	1	1	0	1	1	0.75	0.75	0.75	0	0	0	0															
assay791														7.82603	90.8149	413.179	13671.3	8306.62	9144.14	23882.5	29194.1	128.499	55.6233	1.16718	2.26681	1.28805	71.3016	0.204663	5.59003	2.80967	3.69369																																																																												
assay601																																														167.811	32.3197	30.1221	21.2413	66.5972	51.4199	16.0205	36.7935																																																						
assay954																																																						1.333	3.769	3.667	3.597	6.667	2.838	0.833	5.461	0.667	5.307																																												
assay1034																																																																																																		0.00540535	0.00405641	0.0931168	0.162068	5.75595	18.6839	0	6.82	89	100
assay988																																																						1	3.896	2	4.298	3.667	4.712	0	3.8	0.333	4.919																																												
assay49	1.37437	22.5	86.2167	68	49	32	25	7																																																													14	10	10	1.5	0.8	7	3	2	4	9	8	0	0	1	0	0	0		0.5	0	1	0	0	1															
assay415																																				125	60	37.6	28.3	1.811	0.8065	31.2	20.9	75	86.1																																																														
assay233																																																																1.1964	0.073	0	1	1																																							
assay281																																																																0.5059	0.0378	1	0	1																																							
assay228																																																																1.0076	0.0657	0	0	0																																							
assay413																																				43.6	24.2	20.2	18	2.179	2.2244	25	8.3	36.3	15.5																																																														
assay515																																				38.5	27		26.5	0.364	0.883	29.9	17.1	33.1	16.6																																																														
assay946																																0		1	0																			1.333	3.826	0.5	4.324	6	3.338	1.667	5.152	0.667	5.217																															53.8	40	16	13										
